Station,Point_Location_Description,Parameter,Unit_of_Measure,STORET_Number,Sample_Collection_Date_and_Time,Measured_Value,Data_Qualifier_Code,Sample_Type,MDL,PQL,Method_Description,Matrix,Major_Class_Description,Minor_Class_Description,Sample_Collection_Organization,Vendor_name,Sample_Comments,Analyte_Comments
NCBMOSES,Moses Creek on west side of US1 (upstm side),TSS,mg/L,530,10/2/2008 7:45,5,T,GRAB,5,5,160.2,WATER,Ambient,None,BCI,Columbia Analytical Services Inc. (CAPO)(CAS),,
NCBMOSES,Moses Creek on west side of US1 (upstm side),Turbidity,ntu,82079,10/2/2008 7:45,3.7,,GRAB,0.5,1.5,EPA180.1 R2.0 1993,WATER,Ambient,None,BCI,SJRWMD Laboratory Services,,
NCBMOSES,Moses Creek on west side of US1 (upstm side),TSS,mg/L,530,11/4/2008 12:00,15.3,,GRAB,5,5,160.2,WATER,Ambient,None,BCI,Columbia Analytical Services Inc. (CAPO)(CAS),,
NCBMOSES,Moses Creek on west side of US1 (upstm side),Turbidity,ntu,82079,11/4/2008 12:00,2.2,,GRAB,0.5,1.5,EPA180.1 R2.0 1993,WATER,Ambient,None,BCI,SJRWMD Laboratory Services,,
NCBMOSES,Moses Creek on west side of US1 (upstm side),TSS,mg/L,530,12/1/2008 10:10,5,T,GRAB,5,5,160.2,WATER,Ambient,None,BCI,Columbia Analytical Services Inc. (CAPO)(CAS),,
NCBMOSES,Moses Creek on west side of US1 (upstm side),Turbidity,ntu,82079,12/1/2008 10:10,2.09,,GRAB,0.5,1.5,EPA180.1 R2.0 1993,WATER,Ambient,None,BCI,SJRWMD Laboratory Services,,
NCBMOSES,Moses Creek on west side of US1 (upstm side),Secchi,m,78,1/7/2009 8:25,0.5,L,GRAB,,,DISTRICT FIELD SOP,FIELD DATA,Ambient,None,BCI,SJRWMD Field Data,,Secchi on Bottom : SR 2-3-2011; Changed Analysis Method from NULL to DISTRICT FIELD SOP for STORET.
NCBMOSES,Moses Creek on west side of US1 (upstm side),TSS,mg/L,530,1/7/2009 8:25,5,T,GRAB,5,5,160.2,WATER,Ambient,None,BCI,Columbia Analytical Services Inc. (CAPO)(CAS),,
NCBMOSES,Moses Creek on west side of US1 (upstm side),Turbidity,ntu,82079,1/7/2009 8:25,2.1,,GRAB,0.5,1.5,EPA180.1 R2.0 1993,WATER,Ambient,None,BCI,SJRWMD Laboratory Services,,
NCBMOSES,Moses Creek on west side of US1 (upstm side),Secchi,m,78,2/2/2009 9:45,0.5,L,GRAB,,,DISTRICT FIELD SOP,FIELD DATA,Ambient,None,BCI,SJRWMD Field Data,,Secchi on Bottom : SR 2-3-2011; Changed Analysis Method from NULL to DISTRICT FIELD SOP for STORET.
NCBMOSES,Moses Creek on west side of US1 (upstm side),TSS,mg/L,530,2/2/2009 9:45,5,QT,GRAB,5,5,160.2,WATER,Ambient,None,BCI,Columbia Analytical Services Inc. (CAPO)(CAS),,
NCBMOSES,Moses Creek on west side of US1 (upstm side),Turbidity,ntu,82079,2/2/2009 9:45,2.4,,GRAB,0.5,1.5,EPA180.1 R2.0 1993,WATER,Ambient,None,BCI,SJRWMD Laboratory Services,,
